clean up lunch,clean,lunch,none,1,chore_list6.org
take trash out,take,trash,none,1,chore_list6.org
clean up videos,clean,videos,none,1,chore_list6.org
clean up computer cds,clean,computer cds,none,1,chore_list6.org
take out recycles,take,recycles,none,1,chore_list6.org
do the dishes,do,dishes,none,1,chore_list6.org
do laundry,do,laundry,none,1,chore_list6.org
clean room,clean,room,none,1,chore_list6.org
dust room,dust,room,none,1,chore_list6.org
vacuum room,vacuum,room,none,1,chore_list6.org
vacuum living room,vacuum,living room,none,1,chore_list6.org
vacuum hall,vacuum,hall,none,1,chore_list6.org
wipe off baseboard,wipe,baseboard,none,1,chore_list6.org
wipe off heaters,wipe,heaters,none,1,chore_list6.org
clean bathroom,clean,bathroom,none,1,chore_list6.org
clean glass doors,clean,glass doors,none,1,chore_list6.org
clean computer screen,clean,computer screen,none,1,chore_list6.org
clean tv,clean,tv,none,1,chore_list6.org
clean entry way floor,clean,entry way floor,none,1,chore_list6.org
dust living room,dust,living room,none,1,chore_list6.org
organize library books,organize,library books,none,1,chore_list6.org
collect trash from all rooms,collect,trash,none,1,chore_list6.org
wash kitchen chairs,wash,kitchen chairs,none,1,chore_list6.org
straighten school shelf,straighten,school shelf,none,1,chore_list6.org
change sheets,change,sheets,none,1,chore_list6.org
vacuum under furniture,vacuum,furniture,none,1,chore_list6.org
vacuum under cushions,vacuum,cushions,none,1,chore_list6.org
wash chalkboard,wash,chalkboard,none,1,chore_list6.org
wash baseboard,wash,basboard,none,1,chore_list6.org
clean out refrigerator,clean,fridge,none,1,chore_list6.org
take sheets off beds,take,sheet,none,1,chore_list6.org
clean door knobs,clean,door knobs,none,1,chore_list6.org
clean switch plates,clean,switch plates,none,1,chore_list6.org
clean fronts of refrigerator,clean,fridge,none,1,chore_list6.org
clean stove,clean,stove,none,1,chore_list6.org
clean dishwasher,clean,dishwasher,none,1,chore_list6.org
wipe off washing machine,wipe,washing machine,none,1,chore_list6.org
wipe off dryer,wipe,dryer,none,1,chore_list6.org
make bed,make,bed,none,1,chore_list10.org
clean room,clean,room,none,1,chore_list10.org
remove sheets,remove,sheets,none,1,chore_list10.org
empty dishwasher,empty,dishwasher,none,1,chore_list10.org
bedroom cleaning,clean,bedroom,none,1,chore_list10.org
close dresser drawers,close,dresser drawers,none,1,chore_list10.org
clean up sega,clean,sega,none,1,chore_list10.org
close closet doors,close,closet doors,none,1,chore_list10.org
vacuum assigned rooms,vacuum,assigned room,none,1,chore_list10.org
fold clothes,fold,clothes,none,1,chore_list10.org
dust,dust,none,none,1,chore_list10.org
wash windows,wash,windows,none,1,chore_list10.org
wash bathroom mirrors,wash,bathroom mirrors,none,1,chore_list10.org
vacuum stairs,vacuum,stairs,none,1,chore_list10.org
fold towels,fold,towers,none,1,chore_list10.org
sweep foyer,sweep,foyer,none,1,chore_list10.org
clean upstairs bathroom,clean,bathroom,none,1,chore_list10.org
clean sink,clean,sink,none,1,chore_list10.org
wipe toilet,wipe,toilet,none,1,chore_list10.org
wipe floor around toilet,wipe,floor,none,1,chore_list10.org
sweep room,sweep,room,none,1,chore_list10.org
put laundry down chute,put,laundry,none,1,chore_list10.org
wipe banister,wipe,banister,none,1,chore_list10.org
wipe stove,wipe,stove,none,1,chore_list10.org
wipe dishwasher,wipe,dishwasher,none,1,chore_list10.org
wipe refrigerator,wipe,fridge,none,1,chore_list10.org
arrange shoe bench,arrange,shoe bench,none,1,chore_list10.org
wipe cabinet fronts,wipe,cabinet fronts,none,1,chore_list10.org
wipe doors,wipe,doors,none,1,chore_list10.org
wipe doorknobs,wipe,doorknobs,none,1,chore_list10.org
put away pajamas,put,pajamas,none,1,chore_list9.org
make beds,make,beds,none,1,chore_list9.org
pick up toys,pick,toys,none,1,chore_list9.org
put all books on the shelf,put,books,none,1,chore_list9.org
pick up garbage off the floor,pick,garbage,none,1,chore_list9.org
wipe table,wipe,table,none,1,chore_list9.org
sweep under table,sweep,table,none,1,chore_list9.org
turn off filter,turn,filter,none,1,chore_list9.org
turn off fans,turn,fans,none,1,chore_list9.org
remove clothes on the floor,remove,clothes,none,1,chore_list9.org
hang up clothes neatly in the closet,hang,clothes,none,1,chore_list9.org
remove garbage on the floor,remove,garbage,none,1,chore_list9.org
put any leftovers in containers in the fridge,put,leftovers,none,1,chore_list9.org
put dirty dishes in sink,put,dirty dishes,none,1,chore_list9.org
wipe off counters,wipe,counters,none,1,chore_list9.org
empty dishwasher,empty,dishwasher,none,1,chore_list9.org
fill dishwasher,fill,dishwasher,none,1,chore_list9.org
empty garbage,empty,garbage,none,1,chore_list9.org
do laundry,do,laundry,none,1,chore_list9.org
dust sports shelf,dust,sparts shelf,none,1,chore_list9.org
vacuum dining room,vacuum,dining room,none,1,chore_list9.org
clean counter in bathroom,clean,counter,none,1,chore_list9.org
sweep bathroom floor,sweep,bathroom floor,none,1,chore_list9.org
wipe down toilet,wipe,toilet,none,1,chore_list9.org
vacuum living room,vacuum,living room,none,1,chore_list9.org
vacuum hallway,vacuum,hallway,none,1,chore_list9.org
wipe down kitchen counters,wipe,kitchen counters,none,1,chore_list9.org
wipe down refrigerator,wipe,fridge,none,1,chore_list9.org
wipe down stove,wipe,stove,none,1,chore_list9.org
wipe down dishwasher,wipe,dishwasher,none,1,chore_list9.org
wipe down microwave,wipe,microwave,none,1,chore_list9.org
wipe bathroom counters,wipe,bathroom counters,none,1,chore_list9.org
wipe mirror,wipe,mirron,none,1,chore_list9.org
mop bathroom,mop,bathroom,none,1,chore_list9.org
clean entry way,clean,entry way,none,1,chore_list9.org
sweep entry,sweep,entry,none,1,chore_list9.org
mop entry,mop,entry,none,1,chore_list9.org
dust family room,dust,family room,none,1,chore_list9.org
neat videos,neat,videos,none,1,chore_list9.org
neat nintendo,neat,nintendo,none,1,chore_list9.org
vacuum family room,vacuum,family room,none,1,chore_list9.org
prepare meals,prepare,meals,none,1,chore_list2.org
set the table,set,table,none,1,chore_list2.org
clear the table,clean,table,none,1,chore_list2.org
wash dishes,wash,dishes,none,1,chore_list2.org
load dishwasher,load,dishwasher,none,1,chore_list2.org
clean counter top,clean,countertop,none,1,chore_list2.org
clean stove top,clean,stovetop,none,1,chore_list2.org
organize counter top,organize,countertop,none,1,chore_list2.org
clean drawers,clean,drawers,none,1,chore_list2.org
organize drawers,organize,drawers,none,1,chore_list2.org
clean cupboards,clean,cupboards,none,1,chore_list2.org
organize cupboards,organize,cupboards,none,1,chore_list2.org
clean fridge,clean,fridge,none,1,chore_list2.org
organize fridge,organize,fridge,none,1,chore_list2.org
clean freezer,clean,freezer,none,1,chore_list2.org
organize freezer,organize,freezer,none,1,chore_list2.org
clean sink,clean,sink,none,1,chore_list2.org
clean microwave,clean,microwave,none,1,chore_list2.org
make bed,make,bed,none,1,chore_list2.org
pick up clothes,pick,clothes,none,1,chore_list2.org
put away clothes,put,clothes,none,1,chore_list2.org
tidy closet,tidy,closet,none,1,chore_list2.org
clean off dresser,clean,dresser,none,1,chore_list2.org
clean off work desk,clean,work desk,none,1,chore_list2.org
pick up toys,pick,toys,none,1,chore_list2.org
clean shower,clean,shower,none,1,chore_list2.org
clean bath tub,clean,bath tub,none,1,chore_list2.org
clean toilets,clean,toilets,none,1,chore_list2.org
clean bathroom sinks,clean,bathroom sinks,none,1,chore_list2.org
clean bathroom counters,clean,bathroom counters,none,1,chore_list2.org
clean bathroom mirrors,clean,bathroom mirrors,none,1,chore_list2.org
clean bathroom drawers,clean,bathroom drawers,none,1,chore_list2.org
clean bathroom cupboards,clean,bathroom cupboards,none,1,chore_list2.org
pick up books,pick,books,none,1,chore_list2.org
pick up toys,pick,toys,none,1,chore_list2.org
organize bookshelves,organize,bookshelves,none,1,chore_list2.org
clean top surfaces,clean,top surfaces,none,1,chore_list2.org
clean computer workspace,clean,computer workspace,none,1,chore_list2.org
clean tables,clean,tables,none,1,chore_list2.org
dust top surfaces,dust,top surfaces,none,1,chore_list2.org
dust computer workspace,dust,computer workspace,none,1,chore_list2.org
dust tables,dust,tables,none,1,chore_list2.org
sort laundry into loads,sort,laundry,none,1,chore_list2.org
wash laundry,wash,laundry,none,1,chore_list2.org
hang laundry,hang,laundry,none,1,chore_list2.org
dry laundry,dry,landry,none,1,chore_list2.org
fold laundry,fold,laundry,none,1,chore_list2.org
put away laundry,put,laundry,none,1,chore_list2.org
dry mop floors,mop,floors,none,1,chore_list2.org
sweep floors,sweep,floors,none,1,chore_list2.org
wet mop floors,mop,floors,none,1,chore_list2.org
scrub floors,scrub,floors,none,1,chore_list2.org
vacuum floors,vacuum,floors,none,1,chore_list2.org
shampoo carpets,shampoo,carpets,none,1,chore_list2.org
wax floors,wax,floors,none,1,chore_list2.org
take out garbage,take,garbage,none,1,chore_list2.org
dust anything else,dust,anything else,none,1,chore_list2.org
take care of pets,take,pets,none,1,chore_list2.org
wash windows,wash,windows,none,1,chore_list2.org
change litter box,change,litter box,none,1,chore_list7.org
help make breakfast,make,breakfast,none,1,chore_list7.org
make all the beds,make,beds,none,1,chore_list7.org
feed cat,feed,cat,none,1,chore_list7.org
give water to cat,give,water,none,1,chore_list7.org
clear off tables,clear,tables,none,1,chore_list7.org
clear off chairs,clear,chairs,none,1,chore_list7.org
wipe tables,wipe,tables,none,1,chore_list7.org
wipe chairs,wipe,chairs,none,1,chore_list7.org
put away tables,put,tables,none,1,chore_list7.org
put away chairs,put,chairs,none,1,chore_list7.org
clean up highchair,clean,highchair,none,1,chore_list7.org
vacuum floor,vacuum,floor,none,1,chore_list7.org
straighten up bedrooms,straighten,bedrooms,none,1,chore_list7.org
straighten up living room,straighten,living room,none,1,chore_list7.org
do laundry,do,laundry,none,1,chore_list7.org
fold washcloths,fold,washcloth,none,1,chore_list7.org
fold kitchen towels,fold,kitchen towers,none,1,chore_list7.org
fold children clothes,fold,children clothes,none,1,chore_list7.org
fold bath towels,fold,bath towels,none,1,chore_list7.org
fold adult clothes,fold,adult clothes,none,1,chore_list7.org
put away all the laundry,put,laundry,none,1,chore_list7.org
vacuum hall,vacuum,hall,none,1,chore_list7.org
vacuum kitchen,vacuum,kitchen,none,1,chore_list7.org
vacuum living room,vacuum,living room,none,1,chore_list7.org
vacuum bedrooms,vacuum,bedrooms,none,1,chore_list7.org
straighten up living room,straighten,living room,none,1,chore_list7.org
straighten up bedrooms,straighten,bedroom,none,1,chore_list7.org
straighten up hall,straighten,hall,none,1,chore_list7.org
straighten up bathrooms,staighten,bathrooms,none,1,chore_list7.org
straighten up kitchen,straighten,kitchen,none,1,chore_list7.org
prepare drinks for dinner,prepare,drinks,none,1,chore_list7.org
set up tables for dinner,set,tables,none,1,chore_list7.org
set up chairs for dinner,set,chairs,none,1,chore_list7.org
set up silverware for dinner,set,silverware,none,1,chore_list7.org
set up napkins for dinner,set,napkins,none,1,chore_list7.org
set up dishes,set,dishes,none,1,chore_list7.org
vacuum kitchen,vacuum,kitchen,none,1,chore_list7.org
take out trash,take,trash,none,1,chore_list7.org
wash dishes,wash,dishes,none,1,chore_list7.org
wash appliances,wash,appliances,none,1,chore_list7.org
wash cabinet fronts,wash,cabinet fronts,none,1,chore_list7.org
rinse dishes,rinse,dishes,none,1,chore_list7.org
wash off countertops,wash,countertops,none,1,chore_list7.org
clean bathroom sinks,clean,bathroom sinks,none,1,chore_list7.org
clean vanity,clean,vanity,none,1,chore_list7.org
pick up the floor,pick,floor,none,1,chore_list7.org
scrub the bathroom,scrub,bathroom,none,1,chore_list7.org
scrub the kitchen,scrub,kitchen,none,1,chore_list7.org
scrub the laundry room,scrub,laundry room,none,1,chore_list7.org
mop the floor,mop,floor,none,1,chore_list7.org
vacuum the house,vacuum,house,none,1,chore_list7.org
sweep the patios,sweep,patios,none,1,chore_list7.org
clean out fridge,clean,fridge,none,1,chore_list7.org
clean off the table,clean,table,none,1,chore_list3.org
clean up the room,clean,room,none,1,chore_list3.org
dust the furniture,dust,furniture,none,1,chore_list3.org
make the bed,make,bed,none,1,chore_list3.org
mop the floor,mop,floor,none,1,chore_list3.org
polish the furniture,polish,furniture,none,1,chore_list3.org
put away the books,put,the books,none,1,chore_list3.org
set the table,set,table,none,1,chore_list3.org
sweep up the mess,sweep,mess,none,1,chore_list3.org
take out the trash,take,trash,none,1,chore_list3.org
tidy up the closet,tidy,closet,none,1,chore_list3.org
vacuum the floor,vacuum,floor,none,1,chore_list3.org
wash the clothes,wash,clothes,none,1,chore_list3.org
wash down the walls,wash,walls,none,1,chore_list3.org
make the beds,make,beds,none,1,chore_list1.org
sweep all the floors,sweep,floors,none,1,chore_list1.org
open windows and let some air in,open,windows,none,1,chore_list1.org
wash dishes,wash,dishes,none,1,chore_list1.org
wipe down counters in kitchen,wipe,counters,none,1,chore_list1.org
wipe down counters in bathroom,wipe,counter,none,1,chore_list1.org
take out trash,take,trash,none,1,chore_list1.org
make lunchboxes for school-going kids,make,lunchboxes,none,1,chore_list1.org
make breakfast,make,breakfast,none,1,chore_list1.org
make lunch,make,lunch,none,1,chore_list1.org
make dinner,make,dinner,none,1,chore_list1.org
water plants,water,plants,none,1,chore_list1.org
feed pets,feed,pets,none,1,chore_list1.org
give water to pets,give,water,none,1,chore_list1.org
vacuum carpets,vacuum,carpets,none,1,chore_list1.org
wash down floors,wash,floors,none,1,chore_list1.org
change bedding,change,bedding,none,1,chore_list1.org
hang blankets outside to air,hang,blankets,none,1,chore_list1.org
change towels,change,towel,none,1,chore_list1.org
dust everywhere,dust,everywhere,none,1,chore_list1.org
clean stove top,clean,stovetop,none,1,chore_list1.org
clean oven,clean,oven,none,1,chore_list1.org
wash clothes,wash,clothes,none,1,chore_list1.org
clean out filters of washing machine and dryer,clean,filters,none,1,chore_list1.org
do the ironing,do,ironing,none,1,chore_list1.org
clean toilets,clean,toilets,none,1,chore_list1.org
clean sinks,clean,sink,none,1,chore_list1.org
clean bathtubs,clean,bathtubs,none,1,chore_list1.org
